Id_Fecha,Num_Victs,Fecha,Agno,Mes,Dia,Hora,Horario,Direccion,Comuna,pos x,pos y,Participantes,Victima,Acusado
2020-0006,1,2020-01-20,2020,1,20,12:55:00,12,LAFUENTE AV. 2250,8,-58.44925765,-34.65412546,MOTO-CARGAS,MOTO,CARGAS
2020-0007,1,2020-01-27,2020,1,27,00:37:00,0,CHILE y LIMA,1,-58.38156850,-34.61648696,PEATON-MOTO,PEATON,MOTO
2020-0008,1,2020-01-30,2020,1,30,07:10:00,7,"CORDOBA AV. y JAURES, JEAN",2,-58.40662899,-34.59804521,MOTO-CARGAS,MOTO,CARGAS
2020-0009,1,2020-02-04,2020,2,4,14:50:00,14,"PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",5,-58.41985649,-34.60600850,PEATON-AUTO,PEATON,AUTO
2020-0010,1,2020-02-08,2020,2,8,05:45:00,5,9 DE JULIO AV. y SAN JUAN AV.,1,-58.38099833,-34.62214953,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0011,1,2020-02-12,2020,2,12,11:29:00,11,COLOMBRES 466,5,-58.41803309,-34.61823178,MOTO-CARGAS,MOTO,CARGAS
2020-0012,1,2020-02-18,2020,2,18,21:00:00,21,MEXICO 2860,3,-58.40604003,-34.61783553,PEATON-MOTO,PEATON,MOTO
2020-0013,1,2020-02-20,2020,2,20,12:00:00,12,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,15,-58.47549929,-34.57994061,PEATON-MOTO,PEATON,MOTO
2020-0014,1,2020-02-27,2020,2,27,02:14:00,2,BERMUDEZ y NOGOYA,11,-58.51398484,-34.61600366,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0015,1,2020-02-28,2020,2,28,14:30:00,14,BRASIL AV. y PASEO COLON AV.,1,-58.36797542,-34.62519403,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0016,1,2020-02-29,2020,2,29,13:00:00,13,"ALEM, LEANDRO N. AV. 770",1,-58.37133616,-34.59879316,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0017,1,2020-03-05,2020,3,5,23:00:00,23,BELGRANO AV. y RINCON,3,-58.39613805,-34.61413568,PEATON-AUTO,PEATON,AUTO
2020-0018,1,2020-03-09,2020,3,9,14:00:00,14,"UDAONDO, GUILLERMO AV. 901",13,-58.44903073,-34.54200276,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0019,1,2020-03-10,2020,3,10,21:00:00,21,CONSTITUCION y CASTRO,5,-58.41972364,-34.62846670,PEATON-AUTO,PEATON,AUTO
2020-0020,1,2020-03-13,2020,3,13,17:30:00,17,"PUEYRREDON AV. y GOMEZ, VALENTIN",3,-58.40571596,-34.60557123,PEATON-MOTO,PEATON,MOTO
2020-0021,1,2020-03-14,2020,3,14,16:50:00,16,"BRAVO, MARIO 1279",2,-58.41451590,-34.59488319,PEATON-AUTO,PEATON,AUTO
2020-0022,1,2020-04-07,2020,4,7,06:15:00,6,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-58.47297505,-34.66245085,AUTO-CARGAS,AUTO,CARGAS
2020-0023,1,2020-04-09,2020,4,9,18:42:00,18,"ARAOZ DE LAMADRID, GREGORIO, GRAL. y BROWN, ALTE. AV.",4,-58.35791192,-34.63695178,AUTO-CARGAS,AUTO,CARGAS
2020-0024,1,2020-04-24,2020,4,24,07:58:00,7,MURGUIONDO 1339,9,-58.50801713,-34.65177305,AUTO-AUTO,AUTO,AUTO
2020-0025,1,2020-05-12,2020,5,12,05:35:00,5,RIVADAVIA AV. 2551,3,-58.40258477,-34.60975108,PEATON-AUTO,PEATON,AUTO
2020-0026,1,2020-05-17,2020,5,17,06:40:00,6,,14,.,.,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0027,1,2020-05-18,2020,5,18,08:00:00,8,"DELLEPIANE, LUIS, TTE. GRAL. y MONTIEL",8,-58.48267426,-34.68454456,PEATON-CARGAS,PEATON,CARGAS
2020-0028,1,2020-05-19,2020,5,19,10:00:00,10,"SCALABRINI ORTIZ, RAUL AV. y WARNES AV.",15,-58.44248936,-34.60221948,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0029,1,2020-06-10,2020,6,10,14:00:00,14,"PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",9,-58.52909134,-34.63886726,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0030,1,2020-06-16,2020,6,16,15:00:00,15,SAN MARTIN AV. 1550,6,-58.45158942,-34.60646580,MULTIPLE,MOTO,MULTIPLE
